사용자,평점,댓글 내용,감정
김성혁,2.5,황정민이라는 장점이자 단점.,중립
김달훈,4,"규원아 인권위원회를 폭파시켜줘 차라리..
미국이랑 대한민국 경찰이랑 법 반반씩 퓨전 안되겠니?",긍정
김머그리,3.5,미져리에는 폴 셸던 인질에는 황정민,긍정
기록,2.5,견찰이 너무 무능하게 나오니깐 지친다;,중립
Yves Klein,2.5,무명 배우(감독)들에게 밥상을 잘 차려준 황정민의 ‘결초보은’.,중립
팔데아 돌핀맨,2.5,중반부터 너무 질질 끄는 느낌.,중립
ratte401,3.5,"황정민, 밥상받을 자격있다.",긍정
준영,3,약간 클리셰적인 느낌이 들긴 하지만 생각보다 영화는 괜찮았음. 엑션이 화끈하고 잔인해서 좋았다. 경찰은 여기서도 무능한건 마찬가지.,긍정
SJ-영화 레시피,3,"현실감만으로는 최고
만약에 진짜 배우가 납치가 된다면?",긍정
전정욱,3,황정민 띄우기에 조연들을 인질로 이용한 느낌. 황정민의 연기도 영화와 현실의 이질감은 극복하지 못함. 하지만 아이디어는 신선했음. 다른 배우로 후속작 나와도 볼만할듯.,긍정
생각들,3,지향점을 정확히 이해한 연출의 질주.,긍정
민현기,4.5,"황정민이 경찰역할하면 황정민이 해결
황정민이 인질역할하면 그것도 황정민이 해결",긍정
김경범,3,생각보다 자극적이고 생각보다 재밌는 영화 캐릭터도 생각보다 매력적이긴 했는데 딱 거기까지,긍정
카리소케,2.5,황정민 클리셰 이용하는 법,중립
큰뿌리,2,2021.08.18,부정
박창현,,ㅇㅇ,알 수 없음
영화중독,3,"딱 킬링타임용
청불이면 더 좋았을듯
개인적으로 정재원 배우 때문에 웃겼음",긍정
203호,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
Yuni,3.5,으으 아퍼아퍼어,긍정
~~,3,2021 08 13,긍정
イチ,3,"예상되는전개지만 신선한소재와 신인배우들의 연기를보며 신인배우를 발굴하는게 재밌는영화 신인배우를써서 긴장감을 살렸다 신인배우를 발굴하는 재미도 있기에 신선한 소재와 좋은취지로 만든게좋았다
시즌별로 나와도 재밌을것같다 익숙한 상업영화이나 신파도 적었고 적절히 잘만들어 보는내내 기분좋았다",긍정
won2,3,"참신하고 신선함
근데 너무 서늘해서 보는 내내 좀 불편하다",긍정
이나나,3.5,곱슬머리에 얼굴벌건사람 찾아요,긍정
김환준,3.5,"스텝들과 배우들이 멋진 밥상을 차려놔요
그럼 저는 맛있게 먹기만 하면 되는 거거든요
그런 스포트는 제가 다 받아요 그게 너무 죄송스러워요",긍정
개가오,3,"인간 황정민도 배우 황정민도 없는
노골적인 서스펜스와 클리셰가 한가득 담긴 갑갑한 영화였다.

서사와 사연 즉 캐릭터의 배경이 있어 보이는 건
오히려 주인공을 제외한 다른 인물들이었다.

그럼에도 이야기는 황정민을 중심으로 그려나가고 있고
앞서 말했듯 인간 황정민도 배우 황정민이 그려지는 영화도 아니었다.

더불어 영화의 주인공을 배우 본인으로 했음에도 불구하고

그 배우가 가질 속 이야기나 메리트가 전혀 돋보이질 않았고
그냥 배우 황정민이 인질을 연기할 뿐이었다.

동시에 범죄 수사 스릴러 장르 특유의 클리셰를 따라가
압박감도 흥미도 없는 뻔한 영화였다.

소재를 이끌어감에 필요한 장치들이 하나같이 흐릿하고 효력 있어 보이지 않는다.

서스펜스에 도움을 주는 것도 아니었고 연출에 장점으로 작용하지도 않았으며
단지 이야기에 뒷받침할 뿐이었다.

동시에 스토리라인의 희생양들이 가득하고
심지어 몇몇 인물과 매개체가 바보 같아 보이기까지 했다.

이런 소모성을 줄이기 위해선 주인공을 포함한 주요인물들의 힘이 필요했다.

그래야 이야기를 전개함에 있어 설득력과 공감대가 형성되는데 상술했다 시피

서사는 이도 저도 아니고 딱히 재치가 돋보이는 장면도 없어
상황 전개에 의한 억지스러운 흐름이 형성되고 희생양들이 대거 생길 수밖에 없다.

그럼에도 지금껏 써내려간 단점이 무색하게
다른길로 새지 않는 뚜렷한 목적의식과

관객이 작품에 감정적으로 따라갈 여력이 있었고 영화를 끝까지 볼 수 있는 여지가 있었다.

또한 94분이라는 적당히 짧은 러닝타임이 루즈함을 덜어내는 것에 한몫했다.

생각했던 것과는 전혀 다른 그저 그런 납치 수사 스릴러 영화였다.

구린 영화는 아니고 무난하게 즐길 만 했지만 재미와 상관없이 기대했던 모습과
다른 영화라 개인적으로 아쉬웠다.",긍정
남윤수,2.5,"생각만큼 돋보이지도, 잘 활용하지도 못하지만 그럼에도 황정민이기에 가까스로 유지되는 텐션",중립
PLLI,4,이게 공포영화가 아니면 뭐란 말임,긍정
B바라기,2,"유교패치가 된 '그로테스크'와 '도살자'
K-리암니슨이 된 황정민
나머지는
눈치가 있다없으니까 웃을 수가 없어~",부정
배추입니다,3,"엄청 훌륭하다거나 영리한 각본은 아니나
납치범 배우 하나하나 기억에 남는다. 앞으로 자주 보고싶다.",긍정
양대찬,3,원한 사지 맙시다 !,긍정
이현욱,,황정민 하나 믿고 봐도 진짜 괜찮을듯,알 수 없음
Han,,솔직히 좀 기대됨,알 수 없음
kouwabatke 30,2.5,"상당히 무매력인데 은근히 열심히다.

251107",중립
정현준,2,매력 없는 빌런들이 주가 되는 영화,부정
애니무비,2,더 재밌게 할 수 있었을 거 같은데 하는 아쉬움,부정
김밥풀,2,이 소중한 별들은 온전히 배우만의 몫이다,부정
라파엘,4,"""현실과 허구의 경계를 무너뜨리며 긴장과 몰입을 동시에 끌어낸 독창적 스릴러의 완성""

🔗 실존 인물의 이름을 건 파격적 서사의 실험성
<인질>은 매우 독특한 서사 구조를 지닌 영화다. '황정민'이 ‘배우 황정민’ 본인으로 등장한다는 사실은 단순한 설정이 아니라, 이 영화 전체의 장르적 긴장과 심리적 몰입을 견인하는 핵심 장치다. 영화는 현실과 허구의 경계를 교란하면서, 관객이 스스로 그 경계를 재정의하게 만드는 능동적 관람 경험을 제공한다. 실제 배우의 이름과 직업, 이미지, 언론 인터뷰에서 나온 인상 등이 이야기 속 허구의 재료로 사용되며, 관객은 현실처럼 보이는 가상의 공포에 더욱 몰입하게 된다.

이는 단순한 메타픽션이 아니다. <인질>은 ‘스타’의 이미지를 극한 상황에 던져 넣었을 때 발생하는 긴장, 유명인이라는 보호막이 실제로 얼마나 무력할 수 있는지를 드러내는 인간성 실험이기도 하다. 그 결과, 관객은 유명인이 아닌 ‘하나의 인간 황정민’에 대해 새로운 시선을 갖게 된다.

🎭 '황정민'의 실감 나는 연기와 배우로서의 자기 해체
이 영화의 심장이라 할 수 있는 '황정민'은 이 작품을 통해 연기의 무게와 인간으로서의 진심을 동시다발적으로 증명한다. 납치라는 극한 상황 속에서 그는 스타로서의 자아를 내려놓고, 생존 본능에 집중하며 점차 ‘배우’가 아닌 ‘인간 황정민’으로 되돌아간다. 그가 분노하고, 두려워하고, 끝내 맞서 싸우는 과정은 단지 연기를 잘해서가 아니라, 실제로 그런 상황에 처했을 때 느낄 법한 감정의 진폭을 완벽히 재현했기 때문에 더욱 설득력이 있다.

이러한 연기는 단순히 테크닉이 아닌, 관객의 감정선을 진정성 있게 설계하는 장인적 통제력의 결과다. 특히 감정을 폭발시키기보다는 끓어오르는 분노를 억누르며 긴장감을 끌어올리는 방식은, 관객이 스크린 안의 ‘가짜’가 아니라 ‘실제 사건’을 목격하는 듯한 착각을 불러일으킬 정도로 섬세하다.

🔪 현실적인 범죄 묘사와 서스펜스의 지속성
<인질>이 보여주는 납치극은 기존 범죄 영화의 관습적 연출과는 결이 다르다. 범인은 어디에나 있을 법한 ‘평범한’ 외모를 가진 청년들이며, 납치 장소는 흔한 골목길 뒷방이다. 무대는 작고 제한적이지만, 그 안의 심리는 깊고 넓다. 공간의 폐쇄성은 오히려 심리적 포위감을 강화하며 긴장의 밀도를 높이는 방식으로 기능하고, 사운드와 촬영은 과도한 음악이나 효과 없이 리얼리티 기반의 긴장감을 유지하며 관객을 가둔다.

특히 영화는 납치극이 벌어지는 공간 안에서 벌어지는 심리적 권력관계의 변화를 치밀하게 다룬다. 처음에는 황정민이 일방적으로 희생되는 위치에 놓이지만, 시간이 지날수록 그는 스스로 상황을 분석하고 반격의 기회를 찾으며 점차 주도권을 되찾는다. 이 구조는 단순한 생존극이 아닌, 인간 심리와 이성의 힘이 얼마나 위기 상황에서 작동하는지를 보여주는 드라마로 확장된다.

📸 다큐멘터리적 촬영기법과 미니멀한 연출의 미덕
연출을 맡은 '필감성' 감독은 이 작품에서 자극을 피하고 절제된 리얼리즘을 선택함으로써 더 강한 몰입감을 이끌어낸다. 과장된 액션이나 과도한 플래시백 없이도, 현재 상황만으로도 충분히 극적 긴장을 유지할 수 있다는 자신감이 느껴진다.

핸드헬드 카메라와 자연광 중심의 조명은 마치 CCTV 혹은 누군가의 몰래카메라를 보는 듯한 착시를 유도하며, 이것이 영화 전반의 리얼리티를 강화한다. 즉, <인질>은 시네마틱한 장식이 아니라 현실의 질감을 살리는 연출 방식으로 감정적 진실성을 확보한다.

🎙️ 사회적 맥락과 장르의 재구성
이 영화는 단순한 범죄극으로 읽히지 않는다. 유명인이라는 보호막이 실제 범죄 앞에서는 얼마나 무기력한지를 보여주며, 우리가 스타를 소비하는 방식—화면 너머의 무적 존재로서의 이미지 소비—를 역설적으로 해체한다. 그리고 그들이도 결국 누군가의 가족이고, 똑같이 두렵고 상처받는 인간임을 상기시킨다.

이러한 설정은 한국 사회의 유명인 숭배 문화, 공인에 대한 기대와 그에 따르는 책임의 무게, 그리고 미디어가 만들어낸 스타 시스템에 대한 날카로운 성찰로 확장될 수 있다. 단순한 ‘특이한 영화’가 아닌, 장르의 형식을 빌려 사회를 은유하는 방식으로서의 시도가 성공한 예라고 볼 수 있다.

📣 피해자도, 가해자도 아닌 ‘생존자’라는 정의의 재정립
<인질>의 가장 인상 깊은 지점 중 하나는 ‘황정민’이 스스로의 두려움을 이겨내고 행동하는 순간이다. 그는 더 이상 납치당한 피해자도, 단지 구조되기를 기다리는 대상도 아니다. 그는 스스로 생존을 선택하고, 자기 의지로 폭력에 저항하며, 궁극적으로는 자신과 타인의 삶을 지켜낸다.

이러한 서사는 단지 극적인 영웅 서사가 아니라, 현실 속에서 우리가 마주하는 두려움 앞에서 어떤 선택을 할 수 있는지를 조명하는 질문이기도 하다. 인간이 극한의 공포 앞에서 본능과 이성을 어떻게 조화시키는지, 그 힘이 어디서 비롯되는지를 이 영화는 섬세하게 보여준다.

<인질>은 단순한 납치극이나 스릴러 그 이상이다. 이 영화는 현실과 허구, 유명인과 일반인, 공포와 이성 사이의 경계선을 의도적으로 흐리면서도, 정서적으로는 끝까지 관객의 믿음을 저버리지 않는 탄탄한 리얼리즘 스릴러다. 배우가 자기 자신을 연기하는 독특한 설정, 시종일관 유지되는 긴장, 억지 감정 없이 서서히 고조되는 극적 밀도, 그리고 ‘인간 황정민’의 입체적 감정선은 이 영화의 진정한 힘이다.

결국 <인질>은 우리에게 이렇게 말한다. 공포란, 언제나 예상하지 못한 순간에 우리 삶을 침투하지만, 인간은 그 안에서 어떻게든 살아갈 수 있는 힘을 찾아낸다. 그 힘은 스타라서가 아니라, 인간이기 때문에 가능한 것이다.",긍정
네모바보,3,"21.09.16.
쏟아지는 혹평들만큼 그리 나쁘지는 않다,
물론 어디까지나 기대를 꽤 낮췄다는 가정 하에.",긍정
Z3D,3,무서오,긍정
송은규,3,스타 '황정민'을 실제 캐릭터로 두고 납치한다는 좋은 소재를 잘 살리지 못한 아쉬움이 크다. 소재는 좋았으나 극장에서 봤으면 돈이 아까울 뻔..,긍정
개딩이,2.5,황정민이 황정민으로 나와서 황정민처럼 말하고 황정민처럼 행동함 그냥 황정민이라 길게 말할 것도 없음 황정민이 황정길로 나왔든 황정순으로 나왔든 황정구로 나왔든 똑같았을 거임 진부한 영화라는 뜻,중립
찬찬,2.5,이런영화 좋은데 소재활용을 제대로 못한듯,중립
소담,2.5,오짐싸는 황정민만 기억남,중립
Gulogulo,3,아 아쉽네. 연출좀 잘 하지..,긍정
GaeunEayo,3,연기를 쒸빠 존나 잘하네 어이 쒸빠 브라더,긍정
김재웅,3,"기발한 설정, 황정민 화이팅",긍정
꼬마돌,2.5,황정민이 황정민으로 나오다니 ㅋㅋㅋ,중립
happYness,0.5,느낌만 있는 캐릭터들.,부정
집이있어,3.5,서울의 봄을 위해 2년 전에 먼저 복수당한 그 ㄷㄷ,긍정
여름,3,뻔한 영화 치고 괜찮았다,긍정
이수행,3,감정연기를 잘풀어냈다. 근데 인질극의 동기가 부족하네. 그리고 사전 설명이 없어서 이입이 안된다.,긍정
안우전,3.5,"납치범들이 조금 약하긴 하지만, 실제 납치된 것 같은 느낌이 딱 든다.",긍정
윤태웅,3,황정민을 연기하는 황정민은 연기일까 아닐까,긍정
SH,2.5,인상 깊은 독특한 주제.,중립
한지혜,2.5,새로운 설정으로 영화를 밀고 나가는 힘.,중립
오제,2.5,"황정민을 연기하는 황정민, 이 리얼리티 하나로만 끝까지 간다.",중립
율하역3번출구,2.5,코리아 시네마 월드에 황정민이라는 배우가 꼭 필요한 이유,중립
YQ최,3.5,"23.10.21

황정민의 연기 실력만으로 커버치기에는 너무 부족한 개연성과 인물들의 서사
​
그래도 황정민 상대역들인 배우들의 연기가 좋아서 앞으로도 이들을 자주 보게 될 거 같다

유명 배우가 납치된다는 있을법한 상상을 가지고 파워 있게 내달린다. 다만 시원하게 달리는 동안 작은 디테일들과 완성도를 좀 놓쳤을뿐",긍정
지리하게,2,뻔하고 감정적이다,부정
상상,2.5,"231009
초반에 흥미 끌었다가
반전 없는 그저그런 인질 영화로 바뀜.",중립
정해천,2.5,신선한 설정값 2.5,중립
SH,2,황정민 솔로 주연 영화라 기대했지만 뻔한 전개와 뻔한 결말,부정
Mel,1,"보는 내내 한 생각이라고는
이런 영화를 왜....?
만들고 출연하고 개봉까지 했는지 이해 할 수 없었어..
심지어 저는 황정민 좋아하고 김재범을 사랑합니다만...? 김재범 이렇게 쓸 거면 무대에서 뺏어가지마요!! 무대 할 시간도 부족한 사람을!! (하지만 무대 계속 해주고 있음 ♡사랑해요김재범♡ 뮤지컬 곤투모로우 203년 10월 22일까지 광림 아트센터 BBCH홀)",부정
최선경,3.5,영화라는게원래관객들극장에인질로잡아두고시간가는줄모르게하는거,긍정
이창훈,2.5,ㆍ,중립
Nho Heay-young,2,"황정민이 제작비를 댄걸까?
평범한?! 배우가 갑자기 액션 히어로로 둔갑하는 어리둥절함을 어찌해야할지 모르겠는데 끝나버림",부정
방구석 평론가,3,뭔가 있을 거 같으면서도 말도 안 되는 이야기,긍정
이짜요,3,신선하고 연기도 다 좋은데 제발 경찰들 총 들고 있으면 공포탄이라도 좀 쏘자. 장난감이냐...너무 심해,긍정
비비왕,3,2022.12.31 3.0,긍정
혜윤,3,황정민 영화,긍정
서현,2.5,황정민의 원맨쇼쇼쇼,중립
최창묵,2,참신함에 대한 강박으로 인질을 잡고 스릴을 느끼라며 협박한다,부정
그냥 영화가 좋은 사람,2.5,"신선한 재미를 선사, 어딘가 아쉬운 후반부",중립
김나냥,3.5,황정민 피칠갑하고 뛰는건 언제봐도 재밌음,긍정
미성,3,오로지 목표만 향해 달린다,긍정
요술공주람보,3.5,생각보다 흥미진진했다. 빈틈을 최소화한 짜임새도 좋았다. 황정민을 연기한 황정민의 기분이 궁금했다.,긍정
장난이라니,1.5,시도만 좋았던 영화,부정
류규민,3,황정민이라는 배우하나로 이끌어가는 허술한 극본. 킬링타임용으로는 적절.,긍정
ithilien,2.5,아...,중립
장정우,3,배우들의 연기가 더 리얼,긍정
김민서,3,일어날 법한 일이라는 소재가 어느 정도 힘을 주는지에 대한 예시.,긍정
김태완,2.5,안간힘을 쓰지만 그 쓰다가 만 시간은 어디에도 가지 않는다.,중립
진영인,3,황정민을 소비시키는 다양한 방법 중 하나.,긍정
47,2,4,부정
관객,0.5,다시 생각해도 열받음.,부정
..,0.5,"황정민의 매번 똑같은 캐릭터
주조연의 부족한 연기력
뻔한 전개~..",부정
☘️,4,스포일러가 포함되어 내용을 생략했습니다.,긍정
영화포비아,2,신선한데 진부함,부정
도롱3,2.5,흥미로울 법한 설정의 장점을 충분히 살리지 못해 아쉽다,중립
댄디큐티,3.5,"황정민의, 황정민을 위한, 황정민에 의한",긍정
방구석TV,2,황정민 배우라는 설정자체가 리얼하다보니 실제 납치된거 같았는데 직접 만든 총이랑 폭탄이 허술하고 마지막으로 갈수록 아쉽긴했지만 무난한 한국영화였다,부정
Kyung Deuk Noh,1,"황정민이 황정민한 영화.
무엇을 위한 스토리였을까??",부정
나태지옥,3,음.. 영화관에서 봤는데 킬링 타임용이였습니다.,긍정
그냥영화,2.5,흥미로운 주제를 가지고 와 앞만 보고 달리기만 한다.,중립
잔미,3.5,"설정이 재밌고 속도감있게 달려서 흡인력 있다.
좀 더 드러냈더라면, 솔직해졌다면 어땠을까
끝나고나니 배역같은 배역, 연기같은 연기",긍정
시네마우스,0.5,이게뭐지,부정
jhd446,3,"황정민이 자기 자신의 역할로 나오면서 납치를 당했다? 꽤나 파격적이고 신선하게 다가왔다.

특히 후반까지 긴장감을 유지하는 것은 꽤나 장점으로 다가온다.

다만 황정민을 빼다면 일반 인질극 영화와 다를바가 없는 그저 그런 킬링타임용 영화로 전락한다는 것이 큰 단점이지 않나 싶네요.

어느정도 예측 가능한 클리셰는 따분함을 불러오고 후반 빠른 전개는 긴장감은 있으나 당혹감을 가져온다.",긍정
뚜루11,2.5,진부하면서 뻔하지만 그래도 현실적인 부분들도 보인다,중립
여운,3,내 시간을 죽여줘,긍정
배우는배운다,2.5,인질 ‘황정민’ 과 물아일체,중립
이현진,3.5,"현실에서 있을법한 스토리를 풀어내는
트라우마를 극복하지는 못한 황정민의
싸움.!
세상에 숨지못하는 유명인들의 속사정.!",긍정
감자탕와뼈해장국,2.5,"2023. 03. 07

컨셉은 좋았으나, 컨셉에 끌려다니기만 한 작품

매력적인 캐릭터가 단 하나도 없었다.",중립
적도,0.5,"황정민이 황정민 연기하면서 굴러다님
잔인해서 보기 힘들었다",부정
김정은,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
PKS,3,행성을 도는 위성이 반짝반짝,긍정
yogurt,1,"유명 배우 '황정민'이 납치되는 영화라는 발상은 좋았는데 거기서 끝이었다. 샛별이 캐릭터도 한숨밖에 안 나온다. 킬링타임 용으로도 불쾌하고, 재미는 그냥 없고... 리얼리티 코미디였으면 차라리 나았을까 싶다. 괜히 진지하게 액션물로 파고들어가니 망한 게 아닐까 한다.
또 '황정민'이 영화 속에서 나오는 모습이 속보였다고나 해야 할까? 자기애가 느껴졌다.
뮤지컬에서 한두 번 본 김재범을 스크린에서 보니, 원래 딱히 좋아하는 배우도 아니었음에도 나름 반가운 감정이 들었다.",부정
abzu,2,"사이코패스는 이래야 돼..!!!의 강박적인 스트레오 타입.
현실적인 캐릭터의 대처를 보여주는 황정민이지만 그에 걸맞지 않은 연극식 깽판과 범죄를 저지르는 납치범들.
이 급격한 톤의 차이가 몰입을 와장창 무너뜨린다.
그리고 황정민과 악당의 마지막 몸싸움을 보여주기 위해서 역시나 바보가 되는 한국 영화 경찰들... 짜증이 확ㅋ
마지막 장면에서 이 영화의 목적을 어렴풋이나마 상상은 해보았지만... 그렇게 의미는 없는 듯.",부정
달봉,2.5,'장르' 황정민을 시도한 영화. 내용상 제목으로는 인질이 아니라 납치가 더 어울렸을 듯?,중립
인수정,2,"페이크 다큐로 갔으면 어땠을까 아쉬움
황정민님이 여러모로 인질 같음",부정
SOON,2.5,"황정민이 황정민 한 영화, 생각보다 허점이 많이 보였지만, 악역 캐릭터의 눈빛이 살아있어서 무서웠고, 관객들에게 지루함을 주진 않았던 것 같다. 뻔했지만 뻔해서 오히려 다행인.. 원작이 있다는 사실을 나중에 알았고, 게다가 원작을 내가 봤고, 2018년에 적은 나의 후기를 보고 소름 ㅋㅋ",중립
구아바볶음밥,0.5,최악최악최악 쓸데없는 장면개많고 이런영화 대체 왜만듦 돈아깝고 시간아깝고 등등,부정
권오태,4.5,황정민,긍정
황대영,2.5,"긴장감은 있는데 먼가 좀 별로다
황정민 영화중에 가장 아쉬운 영화

무섭다 요즘 현실에 충분히 일어날수 있는 이야기",중립
방그동그,2.5,"황정민씨 본인의 의지로 찍은 영화인가요?
극 중 경찰은 병신인가요?
고구마 고구마 고구마
영화계는 이제 유미 좀 행복하게 해줘라",중립
정태영,,납치더ㅣㄹㅋ댘가지범,알 수 없음
miredoremirae,3,"필요이상으로 폭력적이면서도
그게 또 현실적인 건가 싶고
뭔가 정말 딱 2% 아쉬운 이 느낌은..",긍정
달리,3,연극무대에 어울릴지도 모르겠다는 생각이 든다.,긍정
정마으문,4,배우 한 명이 어느 정도까지 해낼 수 있는지 보여줌. 스릴러로도 나쁘지 않다.,긍정
남상호,2,황정민 빼고 다 연기력이 어색하다고 느낌,부정
리하,3,"처음부터 끝까지 영화를 이끌어가는 힘이 있음. 그것만으로도 충분히 훌륭한 영화라고 생각됨.
다만 난발하는 클리셰를 조금만 줄이고 주인공으로 대미를 장식해야 한다는 강박만 버렸더라면 더욱더 좋았을 것 같음.",긍정
김윌슨,1,.....어......황정민 페이크 다큐 영화,부정
Chang,3,이 기획의 목적은 연예인의 신변 보호 강조인가?,긍정
내닭다리내놔,3,중요한건 꺾이지 않는 황정민의 연기,긍정
김영우,4,"영화를 본 사람을 인질로 만들어 버리는 영화.
더불어 우리는 우리가 겪는 트라우마를 마주할 수 있는
용기가 있는지 묻는 영화이기도 하다.",긍정
쿵푸팬더~.*,3.5,겉보기엔 식상하지만 생각만큼 식상하지는 않아.,긍정
하작가,2.5,인질다운 인질이 인질을 살렸다.,중립
하나,4,배우빨,긍정
Woo,1,황정민 하나로 봤다.,부정
이진욱,3,"황정민의 캐스팅 자체가 몰입에 더욱 힘을 불어 넣는다.
결말에 치달을때까지 궁금해서 쭉 따라간 끝에 잔잔한 카타르시스를 느끼지만, 악역들의 오글거리는 연기 때문에 다시 보지는 않을 것 같다",긍정
Rebuild,2.5,"뺑반같은 분위기라고 생각했는데 전혀...
오히려 추격자나 악마를 보았다 같은 스릴러 장르였다.
초반엔 정말 너무 무서웠지만
전개과정에서 경찰과 범인이 둘 다 멍청해서 해소되었다.",중립
아스탄,3,허구의 빈틈을 연기만으로 채우는 황정민.,긍정
한정인,0.5,"악역들 ㅈㄴ매력없어서
보기 힘들정도로 항마력 딸림",부정
얘언,4,있을리 없는 일이겠지만 무겁게 잘 풀어냈다 배우를 좋아하는만큼 애정이 감..,긍정
방지영,2.5,그만납치해ㅡㅡ,중립
이태윤,2.5,신선한 설정과 아이디어 하나로 관객을 인질로 잡다.,중립
Vacancy,3,왜 그랬어요?,긍정
우상준,2,ㅇㅇ,부정
별곡이,1.5,나라면 발버둥치지 않고 그냥 눈을 감겠어..,부정
은은한광인,3,믿고보는 황정민에 빛나는 연기력의 조연배우님들,긍정
레몬메론,3.5,스포일러가 포함되어 내용을 생략했습니다.,긍정
은지,1.5,"황정민, 경찰보다 더 쎄다!",부정
빵굽는오리,2,시도는 좋았다.,부정
PAZOREGGI,3,"서스펜스가 넘실거리는 연출이 지속되지만, 각 요소마다 표현이 과하다. 이 영화의 쾌감이 과연 무엇일지 생각하면 실명을 사용하는 황정민이라는 배우를 쥐어 패는 것?",긍정
OnizukaKIN,3.5,배우가 동명의 캐릭터를 연기하는 재미난 설정을 잘 살렸다,긍정
와니,2,"납치되기까지만 재밌고 그 이후부터는………
A급 배우와 D급 각본의 합은 B급 영화조차 되질 못했다.",부정
조경현,2.5,영화적으로나 서사적으로나 배우 황정민의 하드 캐리.,중립
여름,1,재미없는 영화를 인질로 잡혀서 본 느낌.,부정
은서,3.5,"나름 인상적인 초반부와 지루한 후반부.
김재범 짱!",긍정
폭렬여대생,3.5,"ㅋㅋㅋㅋ 재밌다ㅜ 황정민역의 황정민
시나리오는 살짝 아쉽지만 용서될정도로",긍정
샴 푸린 스,1.5,하나부터 열까지 다 뻔한 스토리~,부정
제임스딘,1.5,"인질
황정민이 황정민을 연기한다고 해서 기대했는데
이런영화에서 훌륭한 악역이 얼마나 중요한지 알게 된다.
황정민만 배우고 나머지는 일반인인 영화처럼 황정민만 프로처럼 연기하고 나머지는 아마추어같다.",부정
반성문을영어로하면글로벌,2,황정민 아저씨 기분 좋아보이시는데?,부정
독버섯,2.5,"유명하지않은 배우를 썼다고 하나
납치범중 한분은 이미 다른곳에서 봐서
몰입이 덜했던것도 있고...
같이 붙잡힌 사람도 낯익지않은 배우를 했으면 좋았을텐데
그리고 실감나게 하려면
조금더 카메라같은거를
뭔가 파란노말액티비티처럼?
감시카메라나 그런걸 활용했으면 어땠을까 싶기도
어쨌든 소재는 신선했는데 연출은
그저 그랬다.

+도망갈때 총은 왜 또버려요 .... 들고 뛰라고...",중립
임호섭,2.5,"아주 단순한 스토리로 1시간반을 끌어간다.
황정민의 연기가 아니였다면 아주 긴 러닝타임으로 느껴졌을 것 같다.",중립
메이스1,2.5,신선할 듯했지만 어느새 뻔하게. 정작 황정민 캐릭터가 넘 식상.,중립
아재소방,2.5,그냥 황정민을 보면서 영화를 보아도 될 듯..더 이상 기대하지 말고..,중립
조조는나의힘,3.5,"현실감있는 설정 사실별거 아닌 내용인데
개인기가 워낙 뛰어난 선수다.",긍정
hongveler,3,목적만을 위해 거칠게 끌고가는 호흡,긍정
OFFBEAT,2.5,황정민이라는 배우가 가진 고정적인 이미지를 탈피하기 위해 만들어진 참신한 작품,중립
평론가인척하는 사람의 주관적인 리뷰,3,소소한 재미,긍정
keorm,2.5,2015년 공개된 중국 영화 《세이빙 미스터 우》의 리메이크 작품이다.,중립
정호성(J. Gideon),3,"진짜 황정민 배우가 납치되었지만
납치되어서 하는 행동들은 영화같네요",긍정
김선장,2.5,신박한 소재,중립
이훈,3,"현실 속 인물들의 출현으로 초반 몰입감을 크게 올린 것에 비해 영화가 진행되면서 드러나는 중구난방의 전개,

영화 구타유발자 속 인물들을 벤치마킹한 것 같디만 그에 못미치는 아쉬운 연기... 하지만 덜익은 과일이라 생각하고 앞으로를 기대해보겠습니다!",긍정
쏘울핑거,2.5,본편보다 예고편이 더 흥미진진,중립
가장 나다운 생각,3,황정민이 황정민을 연기할 때,긍정
야루,3.5,스포일러가 포함되어 내용을 생략했습니다.,긍정
비우티플 Beautiple,2.5,상황만 있고 이유는 없다.,중립
kkzk999,1.5,항상보던,부정
삼순구식,2,황정민 밖에 내세울 게 없는 막장 영화 연기자로서의 황정민의 모습 밖에 못 본 것 같아 더 아쉬운..,부정
류영선,1.5,황정민의 캐리로 먹여살리려고 만든 영화임이 티나는...,부정
최소희,3.5,연기를 연기하는 황정민.,긍정
강희성,1.5,"너무하네

타인은 지옥이다에서 캐릭터 다빨고,
전체적인 스토리는 클리셰 덩어리고
도대체 황정민은 왜 출연 한거야?",부정
Feelm,2.5,하다만듯한 설정 활용과 생기다만듯한 스릴.,중립
양주호,2.5,"처음으로 비행기에서 본 영화.

#2022.6.4 서울-이스탄불",중립
정대현,3,닐 것의 황정민,긍정
박철우,3.5,"황정민이 황정민이라서 신선했던 영화, 킬링타임용으로 볼만한 것 같다.",긍정
자은,3.5,유명배우가 인질이 된다는 소재가 신선했고 킬링타임용으로 재밌게 봄 !,긍정
마태오,3,황정민만 할 수 있는 이 영화.,긍정
블루스크린,3.5,대배우는 자기 PR마저도 영화 한 편으로,긍정
x0xee,4,잔인한 거 정말 못보지만 몰입도만큼은 최고,긍정
전재욱,3.5,중간 중간 아쉬운 장면들이 보였지만 이 정도면 나쁘지 않았다.,긍정
한찬,2,"이해가 안 되는 장면들이 너무 많았다.
그저 킬링타임용으로 비행기에서 보기 딱 좋았다.
...
마지막에 사진 찍어달라고 하는 건 너무 오바잖아...",부정
