사용자,평점,댓글 내용,감정
OhJoonHo,3,"이 대담한 설정에는 서로를 양 극단으로 끌어당기는 무지막지한 양면성이 존재한다. 하나는 황정민을 납치한다는 설정으로 황정민이 본인을 연기해 ‘실제감을 증폭’시킨다는 점이며, 하나는 공인을 납치한다는 것 자체가 납치범들 스스로를 바보로 만드는 행위라는 것, 즉 특별한 설정을 위해 가장 큰 것을 포기해가며 결국 이것이 ‘영화임을 인정’한다는 점이다. 다행히 포기한 것들을 억지로 주워담으려하지만 않는다면 이것이 나름의 ‘영화적 실제상황’임을 납득하는데는 오래 걸리지 않는다. 쉼 없이 내달리는 동안 황정민이 겪는 모든 고통을 함께 겪게 되고 빠져나갈 여러가지 궁리 또한 함께한다. 그러나 종국에는, 똑똑한 척하는 범인들에게 황정민을 제외한 모든 인물들이 바보가 되어버리면서, 꼭 그의 손으로 모든 상황을 마무리했어야 했나 하는 의문으로 끝난다. 제목이 <황정민>이라면 어땠을지.

P.S
이 영화에서 유일하게 입체적인 캐릭터를 잘 소화해낸 ‘염동훈’ 역, 류경수 배우의 앞날이 기대된다.",긍정
idaein,2.5,참신함과 진부함이 넘나드는 황정민의 팝콘무비.,중립
이진구,2.5,'황정민'이라는 요소를 너무 자세하게 파고들면 자칫 팬무비처럼 보일까봐 조심스러웠던 걸까,중립
임희봉,3,"황정민이라는 배우가 영화에 부여하는 사실성,  끝까지 밟지 못한 엑셀은 아쉽다",긍정
황재민,3,새로운 배우들을 발굴한 것 만으로도 충분한 가치가 있었다,긍정
박상환,3.5,전형적이지만 타율은 높은편,긍정
살벌한놈,2,현실감 있게 질주하다가도 몰입감을 뚝 떨어트리는 지점들이 왕왕 드러난다. 시작은 비범했으나 득점보다 실점이 많아 결국 평이한 범작으로 귀결된다.,부정
최대한 🎬,3,"전국에서 가장 유명한 인질
이렇게까지 공권력이 유명무실 하나 싶다가도
뭔가 '그렇게 될 수도 있겠구나' 하는 허무한 이해",긍정
까망콩,3,가끔 ‘아이디어의 참신함’이 ‘영화로서의 완성도’보다 중요한 영화가 있다. 천만배우 타이틀의 보유자가 선뜻 ‘황정민이 황정민을 연기’할 결심을 하기는 쉽지 않았을텐데 연기자로서의 그릇이 크다는 느낌. 김재범을 스크린에서 보는 반가움도 쏠쏠. 하지만 [퍼니게임]류의 이유없는 악의와 폭력이 불편하다면 보는 내내 좀 힘들 수도 있다.,긍정
새벽,0.5,이제 이런 영화는 그만 나와도 되지 않나 싶습니다 솔직히 별 반 개도 아깝습니다......캐릭터 빌딩이 잘 된 것도 아니고 매우 납작하며 앞뒤없이 자극적인 것만 나열된 전개....원래 이런 감성을 노렸던 거라면 예 말은 더 하지 않겠습니다 근데 앞으로 이 감독 영화를 다시 볼 일은 없을듯 개인적으로 정말 고통스러운 94분이었습니다,부정
킴지,1.5,아이디어 선점에만 급급한 결과,부정
